epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1616.27,0.52209,0.66743,1.1244,0.63097,0.5459,0.57765,0.42861,1.39565,1.61513,1.86636,0.000178762,0.000178762,0.000178762
121,1630.23,0.50212,0.63877,1.11842,0.62303,0.56614,0.58684,0.44091,1.34919,1.58705,1.81051,0.000173264,0.000173264,0.000173264
122,1644.69,0.55951,0.7548,1.1612,0.56984,0.57577,0.59806,0.44494,1.33214,1.57078,1.78211,0.000167766,0.000167766,0.000167766
123,1659.42,0.51284,0.69392,1.11942,0.60537,0.56229,0.58999,0.44046,1.34677,1.56047,1.81412,0.000162268,0.000162268,0.000162268
124,1673.7,0.47741,0.61666,1.10893,0.70366,0.52473,0.6003,0.45633,1.35923,1.66187,1.82006,0.000156771,0.000156771,0.000156771
125,1688.29,0.53132,0.68187,1.12691,0.68663,0.53251,0.61648,0.45637,1.4058,1.64384,1.88343,0.000151273,0.000151273,0.000151273
126,1702.63,0.49408,0.6598,1.1166,0.64329,0.52346,0.59803,0.44588,1.38378,1.59759,1.82412,0.000145775,0.000145775,0.000145775
127,1716.69,0.50461,0.63032,1.10914,0.59467,0.53647,0.60075,0.44749,1.3769,1.6049,1.80959,0.000140277,0.000140277,0.000140277
128,1731.06,0.51591,0.6347,1.11893,0.63948,0.54531,0.60243,0.45082,1.35311,1.64254,1.76446,0.000134779,0.000134779,0.000134779
129,1744.34,0.51013,0.66587,1.12194,0.59931,0.54172,0.60465,0.45378,1.36975,1.5969,1.79317,0.000129282,0.000129282,0.000129282
130,1758.89,0.49662,0.60872,1.12127,0.67081,0.53479,0.60211,0.45459,1.35153,1.57497,1.77434,0.000123784,0.000123784,0.000123784
131,1772.78,0.49479,0.64614,1.11151,0.66371,0.54225,0.60865,0.4453,1.35607,1.57952,1.81517,0.000118286,0.000118286,0.000118286
132,1786.92,0.48075,0.61174,1.08483,0.64821,0.55452,0.60076,0.44404,1.35226,1.60147,1.80506,0.000112788,0.000112788,0.000112788
133,1803.25,0.48451,0.60323,1.09338,0.64912,0.54962,0.59322,0.4383,1.33337,1.61757,1.78082,0.00010729,0.00010729,0.00010729
134,1817.21,0.47672,0.5902,1.09736,0.68515,0.5498,0.61697,0.45394,1.35379,1.59447,1.81191,0.000101793,0.000101793,0.000101793
135,1831.65,0.48465,0.6332,1.1158,0.62386,0.58399,0.61808,0.45766,1.34994,1.59612,1.8221,9.62948e-05,9.62948e-05,9.62948e-05
136,1845.58,0.51759,0.60943,1.11859,0.61273,0.56369,0.61189,0.45372,1.39245,1.60043,1.86819,9.0797e-05,9.0797e-05,9.0797e-05
137,1858.48,0.44427,0.67783,1.07921,0.56255,0.60726,0.60905,0.45695,1.35452,1.6161,1.80763,8.52992e-05,8.52992e-05,8.52992e-05
138,1871.19,0.46523,0.58836,1.09174,0.64829,0.55862,0.61687,0.46404,1.33746,1.57254,1.7751,7.98014e-05,7.98014e-05,7.98014e-05
